Row,OFD,PFD
RC00965_I,0.01,0
RC00966_I,0,0
RC00978_I,-0.003719975,0
RC00987_I,0,1.00E-06
RC00988_I,0.00E+00,0.00E+00
RC00996_I,0,0
RC01000_I,0,0.00E+00
RC01001_I,0.01,0.01
RC01005_I,0.048345731,0.048345731
RC01009_I,0.064460974,0.064460974
RC01010_I,0.01,0.01
RC01011_I,0.01,0.01
RC01013_I,0.050672358,0.030672358
RC01015_I,-0.742888204,-0.626108474
RC01016_I,0,0
RC01018_I,0.01,0.01
RC01021_I,0.027172201,0.022827422
RC01023_I,0.01036775,0.013719975
RC01026_I,0.01,0.01
RC01030_I,0.005191182,1.00E-06
RC01036_I,0.01,0
RC01041_I,-0.016549298,-0.004103604
RC01049_I,0.05564114,0.04527239
RC01051_I,0,0
RC01054_I,0,0
RC01055_I,-0.01,-0.01
RC01056_I,0.221024541,0.259844698
RC01057_I,0.378321604,0.425386431
RC01061_I,1.50901767,1.311188602
RC01066_I,0.182013656,0.154571381
RC01070_I,0.343090269,0.260663049
RC01072_I,0.01,0.01
RC01082_I,-0.01,0
RC01083_I,0.01,0.01
RC01092_I,0.01,0.01
RC01093_I,0.01,0
RC01095_I,-0.030543785,-0.018743975
RC01100_I,0,0
RC01101_I,0,0
RC01103_I,1.00E-06,1.00E-06
RC01108_I,0,0
RC01121_I,0.313413155,0.313413155
RC01123_I,0.021101796,0.021101796
RC01126_I,0,0
RC01127_I,-0.011858302,-0.011856302
RC01130_I,0.019999,0.011964147
RC01132_I,0,0
RC01134_I,0.025833129,0.01
RC01135_I,0.01,0.01
RC01137_I,0,0
RC01138_I,0,0
RC01154_I,0,0
RC01167_I,0,0
RC01168_I,0,0
RC01184_I,0,0
RC01185_I,0,0
RC01186_I,0,0
RC01187_I,0.032409517,0.033349126
RC01201_I,0,0
RC01206_I,0.01,0.01
RC01218_I,0,0
RC01220_I,1.288686571,0.948961904
RC01224_I,-0.01,-0.01
RC01227_I,0.344619312,0.379134807
RC01229_I,0,0
RC01230_I,0.01,0.01
RC01231_I,0.01,0
RC01234_I,0.01,0.01
RC01252_I,0,0.01
RC01262_I,0,0
RC01266_I,-0.101056957,-0.101056957
RC01268_I,0,0
RC01269_I,0,0
RC01274_I,0,0
RC01280_I,0.34518206,0.227309272
RC01281_I,0.034957451,0.033756758
RC01290_I,0.01,0.01
RC01301_I,0.01,0.01
RC01310_I,0,0
RC01315_I,0,0
RC01318_I,-0.004880066,-0.006559075
RC01321_I,0.05803076,0.071537977
RC01326_I,0.097631732,0.097262983
RC01334_I,0.003157677,0.003157677
RC01351_I,0.025276988,0.012155391
RC01357_I,0.028010746,0.01
RC01364_I,0.01,0.01
RC01372_I,0.01,0
RC01375_I,0.00E+00,0
RC01378_I,0.00E+00,0.00E+00
RC01384_I,0,0
RC01393_I,0.01,0
RC01397_I,0.02,0.007122509
RC01402_I,0.01,0.01
RC01410_I,0,0
RC01415_I,0.01,-0.01
RC01431_I,0.01,0
RC01463_I,0.003186901,0.001984447
RC01468_I,0.01,0.01
RC01470_I,0.244213506,0.208515095
RC01481_I,0.01,0.01
RC01483_I,-0.00360062,-0.00180081
RC01494_I,0.01,0.01
RC01495_I,0.01,0.01
RC01496_I,0.011274725,0.012277468
RC01497_I,0.017113999,0.017919192
RC01498_I,0.01,0.01
RC01500_I,0.00E+00,0.00E+00
RC01512_I,-1.50901767,-1.311188602
RC01513_I,1.152094325,0.837879992
RC01514_I,0,0
