Lreactions,Hreactions
RM04138_X,RM04138_X
RM04170_X,RM04170_X
RM04188_X,RM04188_X
RM04203_X,RM04203_X
RM04204_X,RM04204_X
RM04224_X,RM04224_X
RM04433_X,RM04433_X
RM04737_X,RM04737_X
RM04738_X,RM04738_X
RM04739_X,RM04739_X
RM04740_X,RM04740_X
RM04741_X,RM04741_X
RM04742_X,RM04742_X
RM04743_X,RM04743_X
RM04744_X,RM04744_X
RM04745_X,RM04745_X
RM04746_X,RM04746_X
RM04747_X,RM04747_X
RM04748_X,RM04748_X
RM04749_X,RM04749_X
RM04751_X,RM04751_X
RM04753_X,RM04753_X
RM04754_X,RM04754_X
RM05051_X,RM05051_X
RM05052_X,RM05052_X
RM05064_X,RM05064_X
RM05066_X,RM05066_X
RM05373_X,RM05373_X
RM06985_X,RM06985_X
RM07136_X,RM07136_X
RM07412_X,RM07412_X
RM08657_X,RM08657_X
RM08775_X,RM08775_X
RM10092_X,RM10092_X
RM10151_X,RM10151_X
RMC0001_X,RMC0001_X
RMC0003_X,RMC0003_X
RMC0004_X,RMC0004_X
RMC0005_X,RMC0005_X
RMC0006_X,RMC0006_X
RMC0007_X,RMC0007_X
RMC0008_X,RMC0008_X
RMC0011_X,RMC0011_X
RMC0012_X,RMC0012_X
RMC0013_X,RMC0013_X
RMC0014_X,RMC0014_X
RMC0023_X,RMC0023_X
RMC0024_X,RMC0024_X
RMC0054_X,RMC0054_X
RMC0058_X,RMC0058_X
RMC0075_X,RMC0075_X
RMC0077_X,RMC0077_X
RMC0087_X,RMC0087_X
RMC0088_X,RMC0088_X
RMC0089_X,RMC0089_X
RMC0090_X,RMC0090_X
RMC0091_X,RMC0091_X
RMC0093_X,RMC0093_X
RMC0095_X,RMC0095_X
RMC0096_X,RMC0096_X
RMC0098_X,RMC0098_X
RMC0099_X,RMC0099_X
RMC0100_X,RMC0100_X
RMC0103_X,RMC0103_X
RMC0104_X,RMC0104_X
RMC0105_X,RMC0105_X
RMC0106_X,RMC0106_X
RMC0107_X,RMC0107_X
RMC0108_X,RMC0108_X
RMC0109_X,RMC0109_X
RMC0110_X,RMC0110_X
RMC0111_X,RMC0111_X
RMC0112_X,RMC0112_X
RMC0113_X,RMC0113_X
RMC0114_X,RMC0114_X
RMC0115_X,RMC0115_X
RMC0116_X,RMC0116_X
RMC0117_X,RMC0117_X
RMC0118_X,RMC0118_X
RMC0119_X,RMC0119_X
RMC0120_X,RMC0120_X
RMC0121_X,RMC0121_X
RMC0122_X,RMC0122_X
RMC0123_X,RMC0123_X
RMC0126_X,RMC0126_X
RMC0132_X,RMC0132_X
RMC0133_X,RMC0133_X
RMC0154_X,RMC0154_X
RMC0183_X,RMC0183_X
RMC0184_X,RMC0184_X
RMC0187_X,RMC0187_X
TCE5019_X,TCE5019_X
TCE5085_X,TCE5085_X
TCE5097_X,TCE5097_X
TCE5105_X,TCE5105_X
TCM0111_X,TCM0111_X
TCM5001_X,TCM5001_X
TCM5002_X,TCM5002_X
TCM5003_X,TCM5003_X
TCM5009_X,TCM5009_X
TCM5010_X,TCM5010_X
TCM5011_X,TCM5011_X
TCM5012_X,TCM5012_X
TCM5013_X,TCM5013_X
TCM5014_X,TCM5014_X
TCM5015_X,TCM5015_X
TCM5029_X,TCM5029_X
TCM5048_X,TCM5048_X
TCM5049_X,TCM5049_X
TCM5050_X,TCM5050_X
TCM5051_X,TCM5051_X
TCM5052_X,TCM5052_X
TCM5053_X,TCM5053_X
TCM5054_X,TCM5054_X
TCM5055_X,TCM5055_X
TCM5056_X,TCM5056_X
TCM5057_X,TCM5057_X
,RM04747_X
,RM04748_X
,RM04749_X
,RM04751_X
,RM04753_X
,RM04754_X
,RM04807_X
,RM05052_X
,RM06985_X
,RM07136_X
,RM07412_X
,RM08505_X
,RM08657_X
,RM08759_X
,RM08761_X
,RM08771_X
,RM08775_X
,RM08781_X
,RM10092_X
,RM10151_X
,RMC0001_X
,RMC0003_X
,RMC0004_X
,RMC0005_X
,RMC0006_X
,RMC0007_X
,RMC0008_X
,RMC0011_X
,RMC0012_X
,RMC0013_X
,RMC0014_X
,RMC0023_X
,RMC0024_X
,RMC0054_X
,RMC0058_X
,RMC0075_X
,RMC0077_X
,RMC0087_X
,RMC0088_X
,RMC0089_X
,RMC0090_X
,RMC0091_X
,RMC0093_X
,RMC0095_X
,RMC0096_X
,RMC0098_X
,RMC0099_X
,RMC0100_X
,RMC0103_X
,RMC0104_X
,RMC0105_X
,RMC0106_X
,RMC0107_X
,RMC0108_X
,RMC0109_X
,RMC0110_X
,RMC0111_X
