,Intestine
EX00565_E,0.00E+00
EX00575_E,0
EX00577_E,0
EX00583_E,0
EX00584_E,0
EX00588_E,0
EX00631_E,0
EX00632_E,0
EX00642_E,0
EX00643_E,0.00E+00
EX00655_E,0
EX00669_E,0
EX00670_E,0
EX00671_E,0
EX00695_E,0.001249531
EX00696_E,0.00E+00
EX00704_E,0
EX00708_E,0
EX00719_E,0.01532907
EX00750_E,0
EX00777_E,0
EX00780_E,0.000468364
EX00785_E,0.00E+00
EX00794_E,0
EX00811_E,0
EX00818_E,0
EX00853_E,0.001632034
EX00864_E,0
EX00881_E,0
EX00906_E,0.006280025
EX00909_E,0
EX00940_E,0
EX00942_E,0
EX00954_E,0.039999
EX00979_E,0
EX01060_E,0
EX01083_E,0
EX01103_E,0
EX01132_E,0
EX01137_E,0
EX01161_E,0
EX01179_E,0.338801237
EX01181_E,0.007377087
EX01185_E,0
EX01194_E,0
EX01205_E,5.72E-03
EX01326_E,0.087547632
EX01419_E,0
EX01530_E,0
EX01595_E,0.125058811
EX01613_E,0
EX01697_E,0
EX01717_E,0
EX01755_E,0.01179881
EX01762_E,0
EX01801_E,0
EX01879_E,0
EX01885_E,0
EX01888_E,0
EX01921_E,0.001249531
EX01996_E,0
EX02076_E,0
EX02094_E,0
EX02165_E,0.000864225
EX02188_E,0.00E+00
EX02415_E,0
EX02470_E,0.00E+00
EX02505_E,0.010864225
EX02512_E,0
EX02630_E,0.014024862
EX02642_E,0.00179881
EX02679_E,0
EX02737_E,0
EX02763_E,0
EX02918_E,0.005107913
EX02946_E,0
EX03197_E,1.862458684
EX03284_E,0.017745836
EX03722_E,0
EX03758_E,0.002536309
EX03793_E,2.62E-03
EX03917_E,0
EX04227_E,0.001856302
EX04230_E,0
EX04317_E,0
EX04598_E,0.00E+00
EX04677_E,0
EX04722_E,0
EX04853_E,0
EX05100_E,0
EX05122_E,0.001249531
EX05127_E,0
EX05332_E,0.003090277
EX05335_E,0.001234975
EX05356_E,0
EX05402_E,0
EX05422_E,0
EX05455_E,0
EX05512_E,0
EX05519_E,0.01
EX05635_E,0.00324424
EX05684_E,0.002730066
EX05688_E,0
EX05697_E,0
EX05787_E,1.35E-03
EX05828_E,3.83E-03
EX05852_E,0.01179881
EX05984_E,0.007745836
EX06232_E,0.079934811
EX06341_E,0
EX06424_E,0
EX11061_E,0.002625678
EX11135_E,0
EX11499_E,0.019999
EX14818_E,0
EX14819_E,0
EX15519_E,0.001249531
EX15520_E,0
EX15610_E,0.001005088
EX17337_E,0
EX17339_E,0
EX18125_E,0
EX18126_E,1.00E-06
EXC0001_E,0
EXC0013_E,0.002556914
EXC0050_L,-12.78956971
EXC0051_L,0
EXC0052_L,0
EXC0053_L,0
EXC0054_L,0
EXC0055_L,0
EXC0056_L,0
EXC0057_L,0
EXC0058_L,0.00E+00
EXC0059_L,0.00E+00
EXC0060_L,0.00E+00
EXC0063_L,0.00E+00
EXC0065_L,0
EXC0072_L,0
EXC0135_E,0
EXC0141_E,0.009599496
EXC0142_L,0
EXC0152_E,0
EXC0180_E,0.01179881
EXC0201_E,0
EXC0202_E,0
EXC0203_E,0
EXC0207_E,0
EXC0208_E,0
EXC0210_E,0
EXC0211_E,0
EXC0213_E,0
EXC0214_E,0
EXC0216_E,0.013377374
EXC9998_E,2.471676015
EXC9999_E,1.235838008
RC00004_I,0.01
RC00009_I,0.507797905
RC00010_I,0.01
RC00028_I,0.001411482
RC00032_I,0
RC00078_I,0.002837519
RC00089_I,0.01
RC00093_I,1.66978128
RC00100_I,6.515292936
RC00102_I,4.067151602
RC00103_I,0
RC00115_I,0.020368321
RC00127_I,41.70168064
RC00137_I,-0.012536309
RC00138_I,0.015109913
RC00155_I,0.01
RC00156_I,0.775283884
RC00158_I,1.854041763
RC00160_I,0.038770597
RC00161_I,1.00E-02
RC00174_I,0
RC00177_I,0.155378835
RC00178_I,0.019999
RC00181_I,0.231762128
RC00183_I,1.41934981
RC00185_I,0.01
RC00188_I,0.01
RC00190_I,0.01
RC00191_I,0.01
RC00192_I,0.180576143
RC00199_I,0.01
RC00200_I,0.01
RC00220_I,0
RC00233_I,0
RC00235_I,0.01
RC00238_I,-0.287599533
RC00251_I,0.013880269
RC00253_I,0.01
RC00256_I,0.01
RC00257_I,0.014335119
RC00261_I,0
RC00267_I,0.01
RC00274_I,1.00E-02
RC00275_I,0
RC00277_I,0
RC00278_I,0
RC00286_I,0.008598828
RC00287_I,0
RC00289_I,2.89E-01
RC00291_I,0.009424428
RC00293_I,0
RC00306_I,0.001411482
RC00328_I,0.01
RC00330_I,1.54E+01
RC00332_I,0.370544407
RC00335_I,0.01
RC00342_I,-11.78189112
RC00352_I,0.01
RC00355_I,-0.353840078
RC00359_I,0.003657558
RC00366_I,0.01
RC00369_I,-1.472974074
RC00383_I,0.005023309
RC00416_I,0
RC00417_I,-0.617491045
RC00424_I,0.015109913
RC00426_I,0
RC00431_I,-12.12207364
RC00434_I,0.01
RC00471_I,0.00E+00
RC00475_I,0.01
RC00485_I,0.00E+00
RC00489_I,0
RC00494_I,-1.00E-02
RC00497_I,0.01
RC00507_I,0
RC00508_I,0
RC00509_I,0
RC00511_I,1.295856277
RC00512_I,0.028250515
RC00513_I,0
RC00525_I,0
RC00527_I,0
RC00529_I,0
RC00548_I,0.01
RC00549_I,0
RC00551_I,1.532773573
RC00554_I,-0.001908346
RC00570_I,0.088250515
RC00571_I,0.01
