,Body_wall_muscle,Glia,Gonad,Hypodermis,Neurons,Pharynx
RCC0090_I,0,0,0,0,0,0
RCC0090_X,0.322271016,0.310529041,0.285269151,0,0.307532964,0
RCC0091_I,0,0,0,0,0,0
RCC0091_X,0,0,0,0,0,0
RCC0092_I,0,0,0,0,0,0
RCC0092_X,0,0,0,0,0,0
RCC0093_I,0,0,0,0,0,0
RCC0093_X,0,0,0,0,0,0
RCC0094_I,0,0,0,0,0,0
RCC0094_X,0,0,0,0,0,0
RCC0095_I,0,0,0,0,0,0
RCC0095_X,0,0,0,0,0,0
RCC0096_I,0,0,0,0,0,0
RCC0096_X,0,0,0,0.199150837,0,0
RCC0097_I,0,0,0,0,0,0
RCC0097_X,0,0.498020113,0,0.199150837,0,0
RCC0098_I,0,0,0,0,0,0
RCC0098_X,0,0.498020113,0,0,0,0
RCC0099_I,0,0,0,0,0,0
RCC0099_X,0,0.498020113,0,0.199150837,0,0
RCC0101_I,0.071624698,0,0.070921369,0.077345738,0.07500097,0.072524942
RCC0101_X,0,0.01,0,0.01,0,0.01
RCC0102_I,0.05756857,0.149420639,0.056941363,0.062166873,0.060282259,0.058292149
RCC0102_X,0.01,0.111738851,0.01,0.01093579,0.01,0.01
RCC0103_I,0,0.08817974,0,0,0,0
RCC0103_X,0,0,0,0,0,0
RCC0104_I,0,0.011986771,0,0,0,0
RCC0104_X,0.07049309,0.081738851,0.066686381,0.081692341,0.07141339,0.080397686
RCC0106_I,0.077289546,0.054580254,0.090447803,0.055858758,0.060503326,0.073774564
RCC0106_X,0,0,0,0,0,0
RCC0107_I,0.097985586,0,0,0,0.03877902,0.120719382
RCC0107_X,0.327451161,0.33101468,0.316562007,0.330881636,0.330083693,0.327178255
RCC0108_I,0,0,0,0,0,0
RCC0108_X,0.01,0.01,0.01,0.330100883,0.01,0.308182756
RCC0109_I,0,0,0,0,0,0
RCC0109_X,0.01,0.01,0.072039838,0.01,0.01,0.01
RCC0110_I,0,0,0,0,0,0
RCC0110_X,0.01,0.01,0.048701739,0.01,0.01,0.01
RCC0111_I,0,0,0,0,0,0
RCC0111_X,0.09305192,0.01,0.01,0.01,0.01,0.01
RCC0112_I,0,0,0,0,0,0
RCC0112_X,0.27597208,0.01,0.251643405,0.30237309,0.298558146,0.284667323
RCC0113_I,0,0,0,0,0,0
RCC0113_X,0.124254108,0.01,0.15970776,0.01,0.119586682,0.123701297
RCC0114_I,0,0,0,0,0,0
RCC0114_X,0.01,0.01,0.01,0.01,0.01,0.01
RCC0115_I,0,0,0,0,0,0
RCC0115_X,0.044099922,0.04460623,0.042552779,0.01,0.044473955,0.044061147
RCC0116_I,0,0,0,0,0,0
RCC0116_X,0.01,0.01,0.139439114,0.01,0.01,0.01
RCC0117_I,0,0,0,0,0,0
RCC0117_X,0.01,0.033850984,0.01,0.023827053,0.033683524,0.033160911
RCC0118_I,0.097985586,0,0,0,0.03877902,0.120719382
RCC0118_X,0.327451161,0.33101468,0.316562007,0.330881636,0.330083693,0.327178255
RCC0119_I,0,0,0,0,0,0
RCC0119_X,0.01,0.01,0.01,0.01,0.01,0.01
RCC0120_I,0,0,0,0,0,0
RCC0120_X,8.99E-05,8.99E-05,8.99E-05,8.99E-05,8.99E-05,8.99E-05
RCC0121_I,0,0,0,0,0,0
RCC0121_X,0.01,0.01,0.01,0.01,0.01,0.01
RCC0122_I,0,0,0,0,0,0
RCC0122_X,0.01,0.01,0.01,0.01,0.01,0.01
RCC0123_I,0,0.011986771,0,0,0,0
RCC0123_X,0.07049309,0.081738851,0.066686381,0.081692341,0.07141339,0.080397686
RCC0124_I,0.015048198,0.016008161,0.0148809,0.016250176,0.015757545,0.015237339
RCC0124_X,0.01,0,0.01,0.034002604,0,0
RCC0125_I,0,0,0,0,0,0
RCC0125_X,0.025435471,0.016019189,0.023651784,0,0.01586669,0.015390767
RCC0126_I,0,0,0,0,0,0
RCC0126_X,0,0,0,0,0,0
RCC0127_I,0.00E+00,-4.55E-13,0,-4.55E-13,0,0
RCC0127_X,0.02,0.02,0.01,0.02,0.02,0.02
RCC0128_I,0,0,0,0,0,0
RCC0128_X,0.070673366,0.078389809,0.01,0.070673366,0.078354916,0.090673366
RCC0129_I,0,0,0,0,0,0
RCC0129_X,0.34411959,0.337963314,0.350134295,0.339577982,0.336962231,0.335484574
RCC0130_I,0.175568115,0.121108404,0.207128304,0.124177947,0.135312668,0.167139233
RCC0130_X,0.01,0.01,0.01,0.01,0.01,0.01
RCC0131_I,0,0,0,0,0,0
RCC0131_X,0,0.01,0.01,0,0,0
RCC0134_I,0,-6.82E-13,-6.82E-13,-6.82E-13,0.00E+00,-6.82E-13
RCC0134_X,0,-6.82E-13,0,-6.82E-13,0.00E+00,-6.82E-13
RCC0136_I,0,0,0,0,0,0
RCC0136_X,0.013873111,0.013873111,0.013873111,0.013579877,0.013884722,0.013873111
RCC0137_I,-0.106700122,-0.229317196,-0.379771642,-0.234686028,-0.254161385,-0.309828134
RCC0137_X,0.102388426,0.061619332,0.02,0.162153163,0.02,0.084119332
RCC0138_I,0,-0.041532106,-0.068781219,-0.042504466,-0.046031688,-0.056113607
RCC0138_X,0.0475,0.270849302,0.490172192,0.178638073,0.34184724,0.346302851
RCC0139_I,0,0,0,0,0,0
RCC0139_X,-3.60919237,-4.3807828,-4.881473267,-5.272558149,-4.792299816,0
RCC0140_I,0,0,0,0,0,0
RCC0140_X,0,0.01,0.02,0.01,0.01,-6.82E-13
