Row,Hypodermis,Gonad,Glia,Pharynx,Body_wall_muscle,Neurons
RM00585_I,0,0,0,0,0,0
RM00585_X,0,0,0,0,0.00999999999999091,0
RM00667_I,0,0,0.266157176010894,0,0,0
RM00667_X,0.117142127350259,0.14049467651279,0,0.111393806726753,0.0109833086866379,0.141824724561275
RM00705_I,0,0,0,0,0,0
RM00705_X,0.00124953103117479,0,0.01,0,0.01,0.01
RM00706_I,0.268684364464493,0.328833659169492,0,0.236687932237766,0.3137287553327,0.30231594500594
RM00706_X,0.01,0,0.0400892592787911,0,0.01,0.01
RM00709_I,0,0,0,0,0,0
RM00709_X,1.25725128380337,0,0.00999999999976353,1.23436404816331,1.36659797773574,1.12043743055875
RM00710_I,0,0,0,0,0,0
RM00710_X,0.01,0.01,0,0,0.01,0
RM00711_I,0,0,0,0,0,0
RM00711_X,0,0,0,0,0,0
RM00713_I,0,0,0,0,0,0
RM00713_X,0.01,0,0,0,0,0.02
RM00716_I,0,0,0,0,0,0
RM00716_X,0.114754338974428,0,0,0,0,0
RM00734_I,0,0,0,0,0,0
RM00734_X,0,0,-0.00101311431786674,0,0,0
RM00751_I,0,0,0,0,0,0
RM00751_X,0,0,0,0,0,0
RM00781_I,0,0,0,0,0,0
RM00781_X,0.00999999999996248,0,0.124428573511241,0,0.00999999999999995,0
RM00833_I,0,0,0.259065871586659,0,0,0
RM00833_X,0.00999999999987722,-0.00999999999999091,0.00999999999999868,0.0112495310310611,0.00999999999999091,0.00999999999999091
RM00842_I,0,0,0,0,0,0
RM00842_X,-0.00999999999999091,-0.00999999999990564,-0.00999999999987722,-0.00999999999999091,-0.00999999999999091,-0.00999999999999091
RM00908_I,0,0,0,0,0,0
RM00908_X,0,0,0.0500892592787911,0,0.02,0.02
RM00927_I,0.0992213933914611,0.12848688589847,0.233476603243672,0.092125467282448,0.128204302689376,0.112849472677722
RM00927_X,0.00999999999999091,0.00999999999995538,0.01,0,0.00999999999999091,0.00999999999999091
RM00935_I,0.159462971073032,0.200346773271022,0,0.134562464955327,0.179935184300552,0.189466472328218
RM00935_X,0.00999999999999091,0.01,0,0.00999999999999091,0.01,0
RM00943_I,0,0,0,0,0,0
RM00943_X,0.00999999999970669,0.00999999999999135,0.0222750784510244,0,0,0
RM00945_I,0,0,0,0,0,0
RM00945_X,-0.0099999999998488,-0.0100000000001614,-0.0222750784510244,0,-0.0154544888416784,0
RM01025_I,0,0,0,0,0,0
RM01025_X,0,0.02,0,0,0.00999999999999091,0
RM01082_I,0,0,0,0,0,0
RM01082_X,-1.60802238703346,-2.07110446409778,-5.65055487950209,-2.17241687558155,-1.5574370458599,-1.44206154953967
RM01090_I,0.014293981570072,0.0136485700957547,0.379994293543959,0.0220949614111687,0.0376115205284566,0.0204852220170551
RM01090_X,0.0934151955299836,0,0,0.123196406181315,0,0.082143606928705
RM01175_I,0.0216838647422616,0.0773685611223664,0.265775929091921,0.0642177349229068,0.0700574366954144,0.0305169156868143
RM01175_X,0.0715995127991335,0.0101672301596777,0.00152009275886493,0.0200436729657662,0.0844731657264487,0.0200334863329662
RM01177_I,0.0216838647422616,0.0773685611223664,0.265775929091921,0.0642177349229068,0.0700574366954144,0.0305169156868143
RM01177_X,0.0715995127991335,0.0101672301596777,0.00152009275886493,0.0200436729657662,0.0844731657264487,0.0200334863329662
RM01214_I,0.159462971073032,0.210346773271022,0,0.134562464955327,0.179935184300552,0.189466472328218
RM01214_X,0.00999999999999091,0,0,0.00999999999999091,0.0299999999994134,0
RM01220_I,0.0044941530853751,0,0,0.211751225731,0,0.00884817295762647
RM01220_X,-0.00999999999970669,0,-0.0222750784510244,0,0,0
RM01248_I,0,0,0,0,0,0
RM01248_X,0,0,0,0,0,0
RM01251_I,0,0,0,0,0,0
RM01251_X,0,0,0,0,0,0
RM01253_I,0,0,0,0,0,0
RM01253_X,0,0,0,0.0438998163405356,0.0569940182796051,0.0701020995969368
RM01278_I,0,0,0,0,0,0
RM01278_X,0,0.01,0,0,0,0
RM01282_I,0,0,0,0,0,0
RM01282_X,0.00999999999999091,0.01,0,0,0.00999999999999091,0
RM01301_I,0,0,0,0,0,0
RM01301_X,0,0,0,0,0,0
RM01360_I,0,0,0.375754585505815,0,0,0
RM01360_X,0,0.00999999999936563,0,0,0.0167045326943845,0
RM01393_I,0,0,0,0,0,0
RM01393_X,0,0,0,0,0.00999999999999091,0
RM01465_I,0,0,0,0,0,0
RM01465_X,0.0460029111219541,0,0,0,0,0
RM01492_I,0,0,0,0,0,0
RM01492_X,0.000463439912891772,0.000463439912834929,0.000463439912806507,0.000463439912891772,0.000463439912891772,0.000463439912891772
RM01608_I,0.268684364464493,0.328833659169492,0,0.236687932237766,0.3137287553327,0.30231594500594
RM01608_X,0.0112495310311748,0,0,0,0,0
RM01616_I,0,0,0,0,0,0
RM01616_X,0,0,0,0,0,0
RM01648_I,0,0,0,0,0,0
RM01648_X,0.01,0,0,0,0,0.02
RM01655_I,0.0044941530853751,0,0,0.211751225731,0,0.00884817295762647
RM01655_X,-0.00999999999970669,0,-0.0222750784510244,0,0,0
RM01736_I,0,0,0,0,0,0
RM01736_X,0,0.00999999999970669,0,0,0,0
RM01859_I,0,0,0.259065871586659,0,0,0
RM01859_X,0.00999999999987722,0,0.00999999999999868,0.0112495310310611,0.0199999999999909,0.00999999999999091
RM01868_I,0.0100000000000375,0.0100000000001228,-0,0.0100000000000091,0.0100000000000375,0.0100000000000091
RM01868_X,0.00999999999996248,0.00999999999987722,0.02,0.00999999999999091,0.00999999999996248,0.00999999999999091
RM01875_I,0,0,0,0,0,0
RM01875_X,0,0,-0.00937523448417612,0,-0.000887375726832973,0
RM01923_I,0,0,0,0,0,0
RM01923_X,0.00999999999999091,0,0,0,0.00999999999999091,0
RM01931_I,0,0,0,0,0,0
RM01931_X,0,0,0,0,0,0
RM01939_I,0,0,0,0,0,0
RM01939_X,0.114754338974428,0,0,0,0,0
RM01975_I,-0.120043585234418,-0.0773685611223664,-0.265775929091921,-0.0642177349229068,-0.0700574366954144,-0.0305169156868144
RM01975_X,-0.0979941312814025,-0.0201672301596773,-0.0115200927588634,-0.0200436729657662,-0.0844731657264487,-0.0200334863329662
RM02016_I,0,0,0,0,0,0
RM02016_X,0.00999999999987722,0.00999999999987722,2.49513574903164,0.00999999999993406,0.00999999999987722,0.00999999999996248
RM02050_I,0,0,0,0,0,0
RM02050_X,0,0,0,0,-0.00999999999942247,0
RM02055_I,0,0,0,0,0,0
RM02055_X,0,0,0,0,0,0
RM02085_I,0,0,0.375754585505815,0,0,0
RM02085_X,0.0934151955299836,0.0099999999999999,1.00023654203081e-05,0.131810320996169,0.0267045326943612,0.0907538386460055
RM02161_I,6.33157263458932,6.9907185678042,13.080377384937,6.42507338931798,7.2640231955369,6.45572474538118
RM02161_X,8.9150322661621,9.35273350251764,6.81551131985224,9.31481219163623,8.55238236401102,7.93132466294083
RM02164_I,0,0,0,0,0,0
RM02164_X,1.60802238703343,2.0811044640976,6.25241554489478,2.18241687558155,1.56743704585989,1.45206154953967
RM02199_I,0.0992213933914611,0.138486885898425,0.243476603243672,0.092125467282448,0.128204302689376,0.112849472677722
RM02199_X,0.00999999999999091,0,0,0,0.00999999999999091,0.00999999999999091
RM02300_I,0,0,0,0,0,0
RM02300_X,0,0,0,0,0,0
RM02301_I,0,0,0,0,0,0
RM02301_X,0,0,0,0,0,0
RM02313_I,0,0,0,0,0,0
RM02313_X,0.114754338974428,0,0,0,0,0
RM02396_I,0,0,0,0,0,0
RM02396_X,0.01,0,0.01,0.01,0.01,0.01
RM02433_I,0,0,0,0,0,0
RM02433_X,0,0,0,0,0,0
RM02480_I,0,0,0,0,0,0
RM02480_X,3.60193514756523e-05,3.60193514756426e-05,3.58970783812159e-05,3.58970783812158e-05,3.58970783914376e-05,3.58970783812159e-05
RM02488_I,0.0983597204921568,0,0,0,0,0
RM02488_X,0.026394618482269,0.00999999999999968,0.00999999999999845,0,0,0
RM02529_I,0,0,0,0,0,0
RM02529_X,0,0,0,0,0,0
RM02530_I,0,0,0,0,0,0
RM02530_X,0,0.00999999999970669,0,0,0,0
RM02565_I,0,0,0,0,0,0
RM02565_X,0,0.01,0,0,0.00999999999999091,0
RM02566_I,0,0,0,0,0,0
RM02566_X,0,0.01,0,0,0,0
RM02619_I,0,0,0,0,0,0
RM02619_X,0,0,0,0,0,0
RM02661_I,0.159462971073032,0.200346773271022,0,0.134562464955327,0.179935184300552,0.189466472328218
RM02661_X,0.00999999999999091,0.01,0,0.00999999999999091,0.0299999999994134,0
RM02678_I,0,0,0,0,0,0
RM02678_X,0,0,0,0,0,0
RM02765_I,-0,-0,-0.259065871586659,-0,-0,-0
RM02765_X,-0.00999999999987722,0.00999999999999091,-0.00999999999999868,-0.0112495310310611,-0.00999999999999091,-0.00999999999999091
RM02918_I,0,0,0,0,0,0
RM02918_X,0.0130456161747688,0.0130456161747653,0.0130456161736961,0.0130456161747642,0.0130456162335121,0.0130456161747688
RM03026_I,-0.120043585234418,-0.0773685611223664,-0.265775929091921,-0.0642177349229068,-0.0700574366954144,-0.0305169156868144
RM03026_X,-0.0979941312814025,-0.0201672301596773,-0.0115200927588634,-0.0200436729657662,-0.0844731657264487,-0.0200334863329662
RM03035_I,0,0,0,1.34480750443333e-07,7.18000432615995e-07,1.47751269720733e-07
RM03035_X,0.00231394251480332,0.00231394251480288,0,0.00231394251480337,0,0.00231394251480337
RM03038_I,0,0,0,0,0,0
RM03038_X,0.0543893092062783,0.0543893092062636,0.054389309201806,0.0543893092062592,0.0543893094511888,0.0543893092062783
RM03045_I,0.268684364464493,0.328833659169492,0,0.236687932237766,0.3137287553327,0.30231594500594
RM03045_X,0.0112495310311748,0,0,0,0,0
RM03102_I,0,0,0,0,0,0
RM03102_X,0.104754338974428,0,0,0,0,0
RM03103_I,0,0,0,0,0,0
RM03103_X,0.01,0,0,0,0,0
RM03158_I,0.268684364464493,0.328833659169492,0,0.236687932237766,0.3137287553327,0.30231594500594
