Row,PFD,OFD
EX00130_E,0,0
EX00132_E,0,0
EX00133_E,0,0
EX00134_E,0.0038912960998449,0.00389129609999578
EX00135_E,0.0945993665295414,0.103060927396263
EX00137_E,0,0
EX00140_E,0,0
EX00141_E,1.43114686768087e-17,0
EX00143_E,0,0
EX00147_E,0.0217265670551237,0.0360590686322446
EX00148_E,0.139205391205461,0.165375470598374
EX00149_E,0,0
EX00152_E,0.298445534111781,0.310922752399638
EX00153_E,0.00750344650697668,0.00720949809512195
EX00156_E,0,0
EX00157_E,0,0
EX00158_E,0,0
EX00159_E,0,0
EX00160_E,0,0
EX00162_E,0,0
EX00163_E,1.662595656984e-05,0.00994734822799021
EX00164_E,0.482929181437526,1.6341099974898
EX00166_E,0.150444733271161,0.182498045011004
EX00167_E,0,0
EX00170_E,0,0
EX00178_E,0.0138775459806833,0.0146901854683431
EX00181_E,0,0
EX00183_E,0,0
EX00185_E,0,0
EX00186_E,0.000293948412296968,0.00747873656755783
EX00187_E,0,0
EX00188_E,0,0
EX00189_E,0,0
EX00191_E,0,0
EX00194_E,0.000372288993742019,0.00092219017233976
EX00197_E,0,0
EX00208_E,0,0
EX00212_E,0,0
EX00214_E,0.0321327165819823,0.037290048499483
EX00219_E,0,0
EX00233_E,0,0
EX00239_E,2.60208521396521e-18,0
EX00242_E,0.437863044880094,0.413028713791629
EX00243_E,0,0
EX00245_E,0,0
EX00249_E,0,0
EX00250_E,0.000426188328882755,0
EX00253_E,0,0
EX00255_E,0.00998919365472839,0.0100672744438507
EX00256_E,2.60208521396521e-18,0
EX00257_E,0,0
EX00259_E,0,0
EX00262_E,0.00194212365472172,0.00791394141562044
EX00266_E,0,0.0271946953754996
EX00268_E,0,0
EX00272_E,2.7806836694344e-13,2.04998344688345e-13
EX00288_E,0.355185248802733,0.271527867937133
EX00294_E,0,0
EX00295_E,0.00310243443574351,0.0241852445123691
EX00299_E,0.139938172473122,0.115026451479966
EX00301_E,0,0
EX00311_E,0,0
EX00314_E,0.000426188328882755,0
EX00315_E,0,0
EX00318_E,0.00999999999990564,0.00999999999999945
EX00320_E,0.00185526474432751,0
EX00322_E,0,0
EX00328_E,0,0
EX00329_E,0,0
EX00330_E,0,0
EX00334_E,0.00196683359455607,0.00307569327031438
EX00344_E,0,0
EX00346_E,0.12520403289492,0.00606480713627601
EX00350_E,0,0
EX00352_E,0,0
EX00354_E,0,0
EX00355_E,0.00552956412222609,0.00776277775960333
EX00366_E,0.138960796784428,0.0664898626877553
EX00376_E,0,0
EX00378_E,0.00166852193736213,0.00184810098442908
EX00379_E,0,0
EX00385_E,0.00606613037685982,0.00742602809475902
EX00387_E,0,0
EX00388_E,0,0
EX00398_E,0,0
EX00402_E,0,0
EX00407_E,2.77555756156289e-17,0
EX00422_E,0,0
EX00427_E,0,0
EX00429_E,0.0099999999999909,0.00640265231222783
EX00437_E,0.0139554657742959,0.013801152317219
EX00438_E,0,0
EX00439_E,0,0
EX00440_E,0,0
EX00455_E,0,0
EX00459_E,0.00754506524507724,0.00557823165058419
EX00469_E,0,0
EX00473_E,0,0
EX00475_E,0.220700087133454,0.202355000752114
EX00483_E,0,0.00196683359455616
EX00486_E,0,0
EX00504_E,0,0
EX00506_E,0,0
EX00523_E,-0,-0
EX00526_E,0,0
EX00532_E,0,0
EX00534_E,0,0
EX00535_E,-0,-0
EX00544_E,0,0
EX00546_E,0,0
EX00559_E,0,0
EX00565_E,0,0
EX00575_E,0,0
EX00577_E,0,0
EX00583_E,0,0
EX00584_E,0.00253117065269161,0
EX00588_E,0,0
EX00631_E,0,0
EX00632_E,0,0
EX00642_E,0,0
EX00643_E,0,0.00193926522507995
EX00655_E,0,0
EX00669_E,0,0
EX00670_E,0,0
EX00671_E,0,0
EX00695_E,0.00190497539870433,0.00190497539863956
EX00696_E,0,0
