wbid	Neurons	Gonad	Hypodermis	Pharynx	Body_wall_muscle	Glia	Intestine
WBGene00000204	17.1384870227	22.2111801229	12.1155654039	18.7769615458	7.54643831236	38.0375047163	1.65956563879
WBGene00000205	17.1738509513	28.2068687538	20.8735592233	33.4297995028	6.69929644631	15.37548166	13.3663725601
WBGene00000206	35.6884490355	240.322005925	23.0943469701	16.6062866039	20.2848612981	13.574214223	5.14324224583
WBGene00000207	154.65758387	41.6158898193	235.913126667	248.290499326	641.490362745	161.322786173	219.449910326
WBGene00000208	40.8837530909	47.1607592058	22.0683405957	17.4869476289	17.2019966348	9.18742282515	81.684590617
WBGene00000209	20.5272515785	132.303902682	28.6944013937	31.676681407	51.526646669	31.7471359477	10.211465977
WBGene00000210	48.2301090257	8.57061667099	85.4372472555	71.7107692704	155.104367014	56.9228253691	42.3338257483
WBGene00000211	0.0	1.35240571693	5.68685263536	1.62606914046	83.1469356834	8.53421702396	2.31438622477
WBGene00000212	0.82867617324	0.0496606439893	0.0937738390682	0.0	0.180530780431	0.0	51.3196668183
WBGene00000213	1.06311501203	0.0973672900805	0.0	0.0	0.383399174841	0.0	2.26797626599
WBGene00000214	18.6804642261	3.22496882912	17.6826537592	4.37774071391	5.19974100436	0.384849106438	5161.16432779
WBGene00000215	1.81200992809	0.562509170615	2.99615149786	2.26680566477	1.09515442564	4.47547440029	863.331898411
WBGene00000216	2.0258098965	0.553379549855	1.70116896672	11.4483594503	2.94195967958	4.99235946789	598.5741875
WBGene00000217	25.9239710799	2.0047339169	493.16875453	33.075929868	796.549636041	30.7851566924	91.791441153
WBGene00000218	1.63807771614	0.547291819534	2.35247507191	0.799788855742	0.836051160265	1.01331495856	741.922012826
WBGene00000219	3.81320273209	0.854130218096	2.14567069439	4.33584525691	1.89175270084	1.24917658703	1014.40149515
WBGene00000220	4.06183938942	0.284926799238	26.376547642	73.3011760004	6.64190503467	57.2268814193	2.01298684342
WBGene00000221	67.0962488003	3.99915521708	124.117497331	65.4841507316	116.089085205	51.004252967	62.9102848057
WBGene00000222	38.5804576376	4.64023490901	35.3290642529	38.2239881607	12.9602058409	21.7328469817	89.5307509625
WBGene00000223	578.882875812	348.484581715	265.385209018	455.926007988	141.496680387	403.158933018	555.483807965
WBGene00000224	197.271395331	36.441436413	51.5286163753	188.47075606	285.286250745	128.588972332	35.4642257608
WBGene00000225	88.8504755707	10.3969789616	35.4336348271	114.645940805	77.183674492	86.9092216637	3.3018811186
WBGene00000226	235.860812571	834.804020136	243.226133311	130.5220204	131.010182912	128.863332377	340.606497555
