Gene	B-cells	NK-cells	T-cells	adipose tissue	adrenal gland	amygdala	appendix	basal ganglia	bone marrow	breast	cerebellum	cerebral cortex	cervix, uterine	colon	corpus callosum	dendritic cells	ductus deferens	duodenum	endometrium	epididymis	esophagus	fallopian tube	gallbladder	granulocytes	heart muscle	hippocampal formation	hypothalamus	kidney	liver	lung	lymph node	midbrain	monocytes	olfactory region	ovary	pancreas	parathyroid gland	pituitary gland	placenta	pons and medulla	prostate	rectum	retina	salivary gland	seminal vesicle	skeletal muscle	skin	small intestine	smooth muscle	spinal cord	spleen	stomach	substantia nigra	testis	thalamus	thymus	thyroid gland	tongue	tonsil	total PBMC	urinary bladder	vagina
HGNC:12546	Low	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	High	Rare	Rare	Rare	Moderate	Rare	Rare	Rare	Rare	High	Low	Rare	Rare	Rare	Rare	High	Rare	Rare	Rare	Rare	Rare	Rare	Moderate	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	High	Rare	Rare	Rare	Moderate	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare
HGNC:186	Low	High	Moderate	Moderate	Low	Low	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Low	Moderate	Moderate	High	Low	High	Low	Low	Moderate	Low	Low	Low	Moderate	Low	Low	Low	Low	Low	Moderate	Moderate	High	Low	Low	Low	Low	Rare	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Moderate	High	Moderate	Low	Moderate	High	Low	Low	Moderate	Moderate	Moderate	Low
HGNC:25712	Low	Low	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	Low	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Rare	Moderate	Moderate
HGNC:16526	Moderate	High	High	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	High	Low	High	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	Low	Moderate	Low	Rare	Low	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Low	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate
HGNC:11454	Rare	Low	Low	Low	Moderate	Low	Moderate	Low	Low	Low	Low	Low	Rare	Moderate	Low	Moderate	Moderate	High	Low	Low	Low	Low	Low	Moderate	Moderate	Low	Low	Moderate	High	Moderate	Rare	Low	Moderate	Low	Low	Low	Low	Low	Moderate	Low	Rare	Moderate	Moderate	Low	High	Rare	Rare	High	Rare	Low	Moderate	Low	Low	Rare	Rare	Low	Moderate	Low	Rare	Moderate	Moderate	Low
HGNC:10968	Rare	Rare	Rare	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Low	Moderate	Moderate	Moderate	Low	High	Moderate	High	Moderate	Moderate	Moderate	High	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	High	Low	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Low	Low	Moderate	Low	Low	Moderate	Moderate
HGNC:14573	Moderate	Moderate	Moderate	High	Moderate	High	High	High	High	High	High	High	High	High	High	Moderate	High	High	High	High	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	High	High	High	Moderate	Moderate	High	High	High	High	High	High	High	High	High	High	Moderate	High	Moderate	High	High	Moderate	High	High	High	High	High	High	High	Moderate	High	Moderate	High	High
HGNC:13445	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Moderate	Rare	Rare	Rare	Moderate	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	High	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare
HGNC:14120	Rare	Rare	Rare	Low	Rare	Low	Moderate	Moderate	Rare	Moderate	Low	Rare	Moderate	Moderate	Low	Rare	Low	Moderate	Moderate	Low	Moderate	Rare	High	Moderate	Low	Moderate	Moderate	Low	Low	Moderate	Moderate	Moderate	Rare	Low	Low	Low	Rare	Low	Low	Moderate	Moderate	Moderate	Low	Moderate	Low	Low	Moderate	Moderate	Moderate	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Rare	Moderate	Low
HGNC:28082	Moderate	Rare	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	High	Moderate	High	Moderate	Moderate	High	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	High	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate
HGNC:10969	Low	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	High	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	High	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate
HGNC:2615	Low	Low	Low	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Low	Rare	Low	Rare	Rare	Rare	Rare	Low	Low	Rare	Rare	Rare	Low	High	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare
HGNC:2632	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Moderate	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Moderate	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Moderate	Rare	Rare	Rare	Rare	Rare	Moderate	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Moderate	Rare	Rare	Rare	Moderate	Moderate	Rare	Rare	Moderate
HGNC:16906	High	High	High	High	High	Moderate	High	High	High	High	Moderate	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Moderate	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High
HGNC:13444	Rare	Rare	Rare	Moderate	Moderate	Moderate	Moderate	Moderate	Rare	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Rare	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	High	Moderate	Moderate	Moderate	Rare	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Low	High	Moderate	Moderate	Rare	Moderate	Moderate
HGNC:16484	Rare	Low	Rare	Moderate	Rare	Rare	Low	Rare	Moderate	Moderate	Rare	Rare	Low	Low	Low	Rare	High	Low	Low	Moderate	Moderate	Moderate	Moderate	Rare	Low	Rare	Rare	Rare	Low	Low	Rare	Rare	Moderate	Rare	Moderate	High	Rare	Moderate	Rare	Moderate	Low	Moderate	Low	Moderate	High	Rare	Moderate	Moderate	Rare	Rare	Low	Low	Rare	Low	Rare	Low	Rare	Moderate	Moderate	Rare	Rare	Low
HGNC:8967	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	High	High	Moderate	High	High	High	High	Moderate	High	High	Moderate	Moderate	High	Moderate	High	Moderate	High	Moderate	High	High	Moderate	High	Moderate	High	High
HGNC:3368	Moderate	Moderate	High	Moderate	High	High	Moderate	High	Moderate	Moderate	High	High	Moderate	High	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	High	Low	High	High	High	Moderate	Moderate	Moderate	Moderate	High	High	High	High	High	Moderate	High	Moderate	High	High	High	Moderate	High	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	High	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate
HGNC:3356	Low	Moderate	Low	High	Moderate	Low	Moderate	Low	Rare	High	Low	Low	Moderate	Moderate	Low	Moderate	Moderate	Low	High	Moderate	Low	Moderate	Moderate	Low	Moderate	Low	Low	Moderate	High	Moderate	Low	Low	Rare	Rare	Moderate	High	High	High	High	Low	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Low	Low	Low	Moderate	Rare	Moderate	Moderate	Moderate	Low	Rare	Moderate	Moderate
