Gene	B-cells	NK-cells	T-cells	adipose tissue	adrenal gland	amygdala	appendix	basal ganglia	bone marrow	breast	cerebellum	cerebral cortex	cervix, uterine	colon	corpus callosum	dendritic cells	ductus deferens	duodenum	endometrium	epididymis	esophagus	fallopian tube	gallbladder	granulocytes	heart muscle	hippocampal formation	hypothalamus	kidney	liver	lung	lymph node	midbrain	monocytes	olfactory region	ovary	pancreas	parathyroid gland	pituitary gland	placenta	pons and medulla	prostate	rectum	retina	salivary gland	seminal vesicle	skeletal muscle	skin	small intestine	smooth muscle	spinal cord	spleen	stomach	substantia nigra	testis	thalamus	thymus	thyroid gland	tongue	tonsil	total PBMC	urinary bladder	vagina
HGNC:60	Low	Low	Low	High	Moderate	Moderate	Moderate	Moderate	Low	High	Low	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Low	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Rare	Moderate	Moderate	Low	Rare	Moderate	Moderate
HGNC:6834	Rare	Rare	Low	High	High	High	Moderate	High	Low	High	Moderate	High	Moderate	High	High	Rare	High	High	High	High	Moderate	High	High	Rare	High	High	High	High	High	Moderate	Moderate	High	Rare	High	High	Moderate	High	Moderate	Moderate	High	High	Moderate	Moderate	High	High	High	Moderate	High	High	High	Low	Moderate	High	Moderate	High	Rare	Low	Moderate	Moderate	Low	Moderate	Moderate
HGNC:9029	Low	Rare	Low	Rare	Rare	Rare	Low	Moderate	Rare	Rare	Rare	Rare	Rare	Moderate	Moderate	Low	Moderate	Moderate	Rare	Rare	Rare	Low	Low	Moderate	Rare	Moderate	Rare	Rare	Rare	Moderate	Rare	Moderate	Low	Moderate	Rare	Moderate	Rare	Rare	Rare	Moderate	Rare	Moderate	Moderate	Rare	Rare	Rare	Rare	Moderate	Rare	Rare	Rare	Moderate	Rare	Moderate	Moderate	Moderate	Rare	Moderate	Rare	Rare	Moderate	Rare
HGNC:806	Moderate	Moderate	High	High	High	Moderate	High	High	High	High	High	High	High	High	Moderate	High	High	High	High	Moderate	High	High	High	Moderate	High	High	High	High	Moderate	High	High	High	High	Moderate	High	Moderate	Moderate	High	High	High	High	High	High	High	High	Moderate	High	High	High	High	High	Moderate	High	High	Moderate	Moderate	High	High	High	High	High	High
HGNC:4688	Moderate	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	High	Rare	Low	Rare	High	Rare	Rare	Low	Rare	Rare	Low	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	High	Rare	Low	Rare	Rare	Low	High	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare
HGNC:23614	Rare	Rare	Moderate	Low	Rare	Low	Moderate	Moderate	Low	Low	Low	Moderate	High	High	Moderate	Rare	Rare	High	Moderate	Low	High	Low	High	Low	Moderate	Low	Low	Low	Low	Moderate	Low	Low	Rare	Low	Moderate	Low	Rare	Low	Low	Moderate	Moderate	High	Rare	High	Low	Low	Low	High	Moderate	Low	Moderate	High	Low	Moderate	Low	Rare	Low	Moderate	High	Low	Moderate	Moderate
HGNC:7680	Low	Rare	Low	High	High	High	Moderate	High	Moderate	High	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	High	High	Moderate	Moderate	High	High	Moderate	High	Moderate	Moderate	High	High	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	High	High	High	Moderate	High	High	Moderate	High	Moderate	High	Low	High	Moderate	Moderate	Moderate	Moderate	Moderate
HGNC:753	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Low	Moderate	High	High	Moderate	Moderate	Moderate	High	High	Low	Moderate	High	High	High	High	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	High	High	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate
HGNC:10867	Rare	Rare	Rare	Moderate	Low	Low	Moderate	Low	Low	Moderate	Low	Low	Moderate	Moderate	Moderate	Rare	Moderate	Low	Moderate	Moderate	High	High	Moderate	High	Moderate	Moderate	Low	Moderate	Low	Moderate	Low	Moderate	Low	Low	Moderate	Moderate	Low	Moderate	High	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Low	Low	High	Moderate	Moderate	Rare	Moderate	Moderate
HGNC:1912	Low	Low	Low	Rare	Rare	Rare	Rare	High	Rare	Rare	Rare	Rare	Rare	Low	Rare	Low	Rare	Low	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	High	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Low	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare
HGNC:10912	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Moderate	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	High	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare
HGNC:814	High	Moderate	High	Moderate	Moderate	High	Moderate	High	High	Moderate	High	High	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate
HGNC:7047	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate
HGNC:20797	Rare	Moderate	Low	High	High	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	High	High	Moderate	High	High	High	High	High	High	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	High	High	High	High	High	High	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	High	High	Moderate	Moderate	High	High
HGNC:17964	Moderate	Moderate	High	Moderate	High	High	Moderate	High	Moderate	Moderate	High	High	Moderate	Moderate	High	High	High	Moderate	Moderate	High	Moderate	Moderate	High	High	Moderate	High	High	High	High	Moderate	Moderate	High	High	High	Moderate	High	High	Moderate	Moderate	High	High	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	High	Moderate	High	Moderate	High	Moderate	Moderate	High	High	Moderate
HGNC:403	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	High	Moderate	High	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	High	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	High	Moderate	High	High	Moderate	High	High	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	High	High	High	Moderate	Moderate	High
HGNC:4800	High	High	High	High	High	Moderate	High	Moderate	High	High	Moderate	Moderate	High	High	High	High	High	High	High	High	High	High	High	Moderate	High	Moderate	Moderate	High	High	Moderate	High	High	High	Moderate	High	High	Moderate	High	High	High	High	High	Moderate	High	High	High	High	High	High	High	High	High	High	Moderate	Moderate	High	High	High	High	High	High	High
HGNC:30748	Rare	Rare	Rare	Moderate	Moderate	Moderate	Low	Moderate	Low	Moderate	High	Moderate	Moderate	Moderate	Rare	Rare	Moderate	Moderate	Moderate	Low	Low	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Low	Low	Rare	Moderate	Moderate	High	Low	Low	Low	Low	Moderate	Low	Low	Moderate	Moderate	Low	Low	Moderate	Low	Low	Moderate	Low	Low	Low	Low	Rare	Low	Low	Low	Rare	Moderate	Moderate
HGNC:8547	Rare	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Low	Moderate	Moderate	High	Moderate	High	High	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	High
HGNC:92	Moderate	Moderate	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Moderate	High	High	High	High	Moderate	High	High	High	Moderate	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Moderate	High	Moderate	High	High	High	High	High	High
HGNC:1664	Low	Rare	Low	High	High	Moderate	Low	High	Low	High	Moderate	Moderate	Moderate	High	Moderate	High	Low	Moderate	Moderate	Low	Low	Moderate	Moderate	Low	Low	Moderate	Moderate	Low	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Low	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Low	Moderate	High	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Low	Moderate	Low	Moderate	Low	Moderate	Moderate
HGNC:8793	Low	Low	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	High	High	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	High	Moderate	High	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate
HGNC:10680	High	High	High	High	High	High	Moderate	High	Moderate	Moderate	High	High	Moderate	High	High	High	Moderate	High	Moderate	Moderate	High	Moderate	High	High	High	High	Moderate	High	High	Moderate	Moderate	High	High	High	Moderate	High	High	Moderate	Moderate	High	Moderate	High	Moderate	High	Moderate	High	Moderate	High	High	Moderate	Moderate	High	High	Moderate	High	High	Moderate	High	Moderate	High	Moderate	Moderate
HGNC:42	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	High	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare
HGNC:9605	Rare	Rare	Rare	Moderate	Low	Low	Moderate	Low	High	Low	Low	Low	High	Moderate	Low	Low	High	Low	Low	Low	Low	Moderate	Moderate	Moderate	Moderate	Low	Low	Low	Low	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Moderate	Low	High	Low	Low	Low	Moderate	Moderate	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Rare	High	Low
HGNC:10860	High	Moderate	High	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	High	Moderate	High	High	High	Moderate	High	High	Moderate	Moderate
HGNC:8016	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Low	Moderate	Low	Low	Moderate	High	Low	Moderate	Moderate	High	Moderate	Low	Low	Low	Moderate	Low	Low	Moderate	Low	Moderate	Moderate	Low	Low	Low	Low	Moderate	Moderate	Moderate	Low	Low	Moderate	Moderate	Low	Moderate	Low	Moderate	Moderate	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Low	Low
HGNC:1371	Rare	Rare	Rare	Moderate	Rare	Moderate	High	High	Rare	Moderate	Moderate	Moderate	High	High	Moderate	Rare	Moderate	Low	Moderate	Moderate	High	Moderate	Moderate	Low	Low	Moderate	Low	High	Rare	Low	Rare	Low	Low	Rare	Moderate	High	Rare	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	High	Low	High	Moderate	High	Rare	Low	Moderate	Low	Low	Moderate	Rare	Low	High	High	Rare	Moderate	Moderate
HGNC:17038	Low	Low	Low	High	Moderate	High	High	High	Moderate	High	High	High	Moderate	High	Moderate	High	Moderate	High	Moderate	Moderate	High	High	High	Moderate	High	High	Moderate	High	High	High	Moderate	High	High	High	Moderate	Moderate	Low	Moderate	High	Moderate	Moderate	High	Moderate	High	Moderate	High	Moderate	High	Moderate	Moderate	High	High	High	Moderate	High	Moderate	Moderate	High	High	Moderate	Moderate	Moderate
HGNC:10975	Moderate	Low	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate
HGNC:3350	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High
HGNC:10910	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Low	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	High	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare
HGNC:93	High	Moderate	High	High	High	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	High	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	High	Moderate	Moderate	Moderate	Moderate
HGNC:10989	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High
HGNC:9067	Rare	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	Low	Moderate	Moderate	High	High	Low	Low	High	Moderate	Moderate	High	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	Low	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	High	Moderate	Moderate	High	Moderate	High	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate
HGNC:3772	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Low	Moderate	Low	Low	Moderate	Moderate	Moderate	Low	Low	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Low	Low	High	High	Low	Low	Moderate	Moderate	Low	Moderate	Low	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Low	Low	Low	Low	High	Low	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Low	Moderate	Low	Low	Low	Low	Moderate
HGNC:30521	Low	Low	Low	Low	High	Moderate	Low	Moderate	Low	Moderate	Moderate	Moderate	Low	High	Moderate	Low	Moderate	High	Low	Moderate	Low	Moderate	Low	Moderate	Low	Moderate	Moderate	Moderate	High	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Low	Low	High	Low	Moderate	Moderate	Low	Moderate	Low	Moderate	Low	Moderate	Low	Low	Low	Low	Low
HGNC:85	Low	Rare	Low	High	Moderate	Moderate	Moderate	Moderate	Low	High	Low	Low	Low	High	Low	Rare	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Low	Moderate	High	Low	Moderate	Moderate	Low	Low	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Low	Moderate	Low	Moderate	Moderate	Low	Rare	Moderate	Moderate
HGNC:8022	Moderate	Moderate	Moderate	High	High	High	High	High	High	High	High	High	High	High	High	Moderate	High	Moderate	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Moderate	High	High	High	High	High	High	High	High	High	High	High	High	High	Moderate	Moderate	High	High	High	High	High	High	Moderate	High	High	High	High	Moderate	High	High
HGNC:2851	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate
HGNC:12442	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	High	Low	Rare	Rare	High	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare
HGNC:6936	Moderate	High	Moderate	High	High	Moderate	Moderate	High	Moderate	High	High	High	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	High	Moderate	Moderate	High	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate
HGNC:8974	Moderate	Moderate	High	High	High	High	High	High	High	High	High	High	High	High	High	Moderate	High	Moderate	High	High	High	High	High	High	High	High	Moderate	High	High	High	High	High	Moderate	High	High	High	High	High	High	High	High	High	Moderate	High	High	High	High	Moderate	High	High	High	High	High	High	High	High	High	Moderate	High	Moderate	High	High
HGNC:11504	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	High	Moderate	Moderate	High	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate	High	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Low	Moderate	Low	Moderate	Moderate
HGNC:233	Low	Rare	Low	Low	Low	High	Low	Moderate	Low	Low	Moderate	High	Moderate	Low	Moderate	Low	Low	Low	Moderate	Low	Moderate	Moderate	Low	Low	Low	Moderate	Moderate	Low	Low	Low	Low	Moderate	Low	Moderate	Moderate	Low	Low	Moderate	Low	Moderate	Moderate	Low	Low	Low	Moderate	High	Moderate	Low	Moderate	Moderate	Low	Low	Moderate	Moderate	Moderate	Rare	Low	Moderate	Low	Rare	Low	Low
HGNC:10941	Rare	Rare	Rare	High	Moderate	High	Moderate	High	Moderate	Moderate	High	High	Moderate	Moderate	High	Moderate	Rare	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Rare	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	High	Rare	Moderate	Low	Moderate	Low	Moderate	Low
HGNC:3629	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High
HGNC:8576	High	Moderate	High	Moderate	Moderate	High	Moderate	High	High	Moderate	High	High	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	Moderate
HGNC:8905	Moderate	High	High	High	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	High	High	Moderate	Moderate	Moderate	High	Moderate	Low	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Low	Moderate	Low	Moderate	High	Moderate	High	Moderate	Moderate
HGNC:21063	Moderate	Rare	Rare	Moderate	High	Moderate	Moderate	Moderate	Rare	Low	Rare	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	High	Rare	Moderate	Moderate	Low	High	Low	High	Moderate	Low	Rare	Moderate	Moderate	Low	Rare	Moderate	Moderate	Rare	High	Moderate	Low	Moderate	High	Low	Moderate	Moderate	High	Low	Moderate	Moderate	Low	Moderate	Moderate	Low	Low	Moderate	Moderate	Rare	Moderate	Moderate
HGNC:2709	Rare	Rare	Low	Rare	Rare	Low	Rare	Low	Rare	Low	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Low	Rare	Rare	Rare	Low	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	High	Low	Rare	Rare	High	Rare	Rare	Low	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare
HGNC:11030	Rare	Low	Moderate	Moderate	Low	Moderate	Moderate	High	Low	Low	High	High	Moderate	High	Moderate	Rare	Rare	High	Low	Low	Low	Low	High	Rare	Moderate	Moderate	Moderate	High	Moderate	Moderate	Low	Moderate	Rare	Moderate	Low	High	Moderate	Moderate	Low	High	Moderate	High	Moderate	Low	Low	Low	Low	Moderate	Low	High	Low	Moderate	Moderate	Low	Moderate	Rare	Moderate	Rare	Low	Rare	Moderate	Low
HGNC:14423	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Moderate	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	High	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Moderate	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare
HGNC:2321	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	High	Moderate	Moderate	High	Low	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Rare	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate
HGNC:664	Moderate	Rare	Moderate	Low	Moderate	Moderate	Low	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Low	Low	Moderate	Low	Low	Moderate	Moderate	High	High	Moderate	Moderate	High	Low	Moderate	High	Moderate	High	Low	Moderate	Moderate	Moderate	Low	Low	Moderate	Moderate	Moderate	Rare	High	Moderate	Moderate	Moderate	Moderate	Moderate
HGNC:6694	Rare	Rare	Rare	Low	Low	Low	Low	Moderate	Low	Moderate	Low	Moderate	Low	Low	High	Rare	Rare	Low	Low	Moderate	Low	Low	Low	Rare	Low	Moderate	Low	High	Low	Low	Low	High	Rare	Low	Low	Low	High	Low	Moderate	Moderate	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	High	Low	Low	High	Low	High	Rare	High	Rare	Low	Rare	Low	Rare
HGNC:21298	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate
